"","County","At Risk Pop 10-19","Court Commitments(CC)","Commitment Rate per 1K","Commitment Rate Rank","CC White %","CC Black %","CC Hispanic %","CC Male %","Alt Plans Commitments","Alt Plans Commitments %","Detention Long Term","Detention Long Term White %","Detention Long Term Black %","Detention Long Term Hispanic %","Detention Long Term Male %","Detention Total","Detention Rate per 1K","Detention White %","Detention Black %","Detention Hispanic %","Detention Male %","Short-Term Program","Short-Term Program White %","Short-Term Program Black %","Short-Term Program Hispanic %","Short-Term Program Male %","22/23 Grads","GR Black","GR White","GR Hispanic","GR Asian","GR Female","GR Male","GR Eco Dis","Grads with HOPE Rate","2022 Model-Based Estimate of Median Household Income, Dollars","2022 Rank","2018-2022 Median Household Income, Dollars","2018-2022 Rank of Total","2018-2022 Median Household Income, White, Dollars","2018-2022 Median Household Income, Black, Dollars","2018-2022 Median Household Income, Hispanic, Dollars","2018-2022 Households With Incomes Less than $10,000, Percent","2018-2022 Households With Incomes Less than $10,000, White, Percent","2018-2022 Households With Incomes Less than $10,000, Black, Percent","2018-2022 Households With Incomes Less than $10,000, Hispanic, Percent","2018-2022 Households With Incomes $10,000-$24,999, Percent","2018-2022 Households With Incomes $10,000-$24,999, White, Percent","2018-2022 Households With Incomes $10,000-$24,999, Black, Percent...15","2018-2022 Households With Incomes $10,000-$24,999, Black, Percent...16","2018-2022 Households With Incomes $25,000-$49,999, Percent","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...18","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...19","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...20","2018-2022 Households With Incomes $50,000-$99,999, Percent","2018-2022 Households With Incomes $50,000-$99,999, White, Percent","2018-2022 Households With Incomes $50,000-$99,999, Black, Percent","2018-2022 Households With Incomes $50,000-$99,999, Hispanic, Percent","2018-2022 Households With Incomes $100,000 or More, Percent","2018-2022 Households With Incomes $100,000 or More, White, Percent","2018-2022 Households With Incomes $100,000 or More, Black, Percent","2018-2022 Households With Incomes $100,000 or More, Hispanic, Percent","2022 Total Persons in Poverty","2022 Total Persons in Poverty, Percent","2022 Rank of Total Persons in Poverty, Percent","2022 Children Under Age 18 in Poverty","2022 Children Under Age 18 in Poverty, Percent","2022 Related Children in Families, Age 5-17, in Poverty","2022 Related Children in Families, Age 5-17, in Poverty, Percent","2018-2022 Persons Below Poverty Level, Percent","2018-2022 Persons Below Poverty Level, White, Percent","2018-2022 Persons Below Poverty Level, Black, Percent","2018-2022 Persons Below Poverty Level, Hispanic, Percent","2018-2022 Persons Age 65 and Over in Poverty, Percent","2018-2022 Persons Less than High School Graduates in Poverty, Percent","2018-2022 Persons with Bachelor's Degree or Higher in Poverty, Percent","2018-2022 Families Below Poverty Level, Percent","2018-2022 Families Below Poverty Level with a White Householder, Percent","2018-2022 Families Below Poverty Level with a Black Householder, Percent","2018-2022 Families Below Poverty Level with a Hispanic Householder, Percent","2018-2022 Families Below Poverty Level, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with a White Householder, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with a Black Householder, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with an Hispanic Householder, Female Head of Household, No Husband Present, Percent"
"1","APPLING",2560,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,5,1.953125,0.2,0.4,0,0.4,2,0,1,0,1,236,0.910714285714286,0.944444444444444,0.948717948717949,NA,0.969465648854962,0.900826446280992,0.936507936507937,0.483193277310924,51217,85,43268,137,52849,"27043","26544",0.103047895500726,0.0847152847152847,"0.13903345724907062","0.10294117647058823",0.202031930333817,0.172427572427572,"0.28624535315985128","0.34558823529411764",0.242960812772134,0.227772227772228,"0.29665427509293679","0.29411764705882354",0.266908563134978,0.274925074925075,"0.26468401486988846","0.25735294117647056",0.185050798258345,0.24015984015984,"1.3382899628252789E-2","0",3644,0.20264709153598,"104",1286,0.289509230076542,923,0.276927692769277,0.253054680157019,0.200015553308966,0.354120965214666,"0.45892951775304719",0.139891408495688,0.312796208530806,0.12958435207824,0.209,0.162,"0.32200000000000001","0.51300000000000001",0.321,0.319,"0.33800000000000002","4.8000000000000001E-2"
"2","ATKINSON",1112,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,2,1.79856115107914,0,1,0,1,0,NA,NA,NA,NA,94,1,0.951219512195122,1,NA,0.978260869565217,0.98,0.979166666666667,0.521276595744681,46060,123,38007,153,47036,"35938","30248",0.0329742082925237,0.0203694931312174,"0.11284046692607004","0",0.186418543911198,0.159166271909048,"0.25486381322957197","0.19627749576988154",0.361083904668626,0.331596399810516,"0.23929961089494164","0.56852791878172593",0.263140711720535,0.270961629559451,"0.35603112840466927","0.155668358714044",0.156382631407117,0.217906205589768,"3.6964980544747082E-2","7.952622673434856E-2",1717,0.210933660933661,"109",606,0.302244389027431,410,0.283149171270718,0.275133559980573,0.1858310626703,0.396482813749001,"0.47354379724321921",0.157559198542805,0.397769516728625,0.0144927536231884,0.22,0.13,"0.32699999999999996","0.47500000000000003",0.514,0.409,"0.86299999999999999","0.61"
"3","BACON",1609,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,2,1.24300807955252,1,0,0,0.5,0,NA,NA,NA,NA,140,0.92,0.978260869565217,1,NA,0.985714285714286,0.959459459459459,0.969230769230769,0.535714285714286,46044,124,43938,133,51867,"30445","35536",0.0900486057815298,0.0825503355704698,"0.12382739212007504","5.6547619047619048E-2",0.183167050396521,0.147651006711409,"0.23452157598499063","0.42559523809523808",0.271424916858532,0.251006711409396,"0.40900562851782363","0.28273809523809523",0.291123049373241,0.326845637583893,"0.2326454033771107","0.11607142857142858",0.164236377590177,0.191946308724832,"0","0.11904761904761904",2485,0.229412850812408,"132",888,0.315901814300961,602,0.291384317521781,0.21637537993921,0.190733979604683,0.228782287822878,"0.44363256784968685",0.131038312048862,0.384140061791967,0.0542929292929293,0.14,0.129,"0.13200000000000001","0.28899999999999998",0.312,0.433,"0.20499999999999999","0.221"
"4","BAKER",298,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,3.35570469798658,0,1,0,1,0,NA,NA,NA,NA,17,0.933333333333333,NA,NA,NA,NA,NA,0.80952380952381,NA,50129,91,45417,130,54922,"26458","-",0.156791248860529,0.0888208269525268,"0.29610389610389609","1",0.120328167730173,0.0857580398162328,"0.19480519480519481","0",0.286235186873291,0.290964777947933,"0.22077922077922077","0",0.237010027347311,0.240428790199081,"0.23636363636363636","0",0.199635369188696,0.294027565084227,"5.1948051948051951E-2","0",599,0.215545160129543,"115",205,0.39047619047619,149,0.374371859296482,0.231410701876303,0.121594684385382,0.254841997961264,"1",0.192408376963351,0.102040816326531,0.0128205128205128,0.141,0.119,"0.159","-",0.291,0.284,"0.29599999999999999","-"
"5","BALDWIN",6506,1,0.153704272978789,96,0,1,0,1,1,1,0,NA,NA,NA,NA,23,3.53519827851214,0.260869565217391,0.695652173913043,0,0.826086956521739,6,0.166666666666667,0.833333333333333,0,0.833333333333333,263,0.908163265306122,0.859154929577465,NA,NA,0.907894736842105,0.874125874125874,0.891525423728814,0.303846153846154,49883,94,54699,74,68254,"37310","67783",0.113353939317479,0.0863126229318524,"0.15743574051407588","7.6142131979695438E-2",0.145398347315965,0.118824482239963,"0.17885556915544676","0.13705583756345177",0.198322084148111,0.169617031123452,"0.23684210526315788","0.15228426395939088",0.307512773607519,0.312160129584635,"0.29697062423500614","0.41624365482233505",0.235412855610925,0.313085734120097,"0.12989596083231333","0.21827411167512689",9253,0.240706537290913,"141",2284,0.292595439405585,1703,0.292611683848797,0.226573283574459,0.189151058136706,0.271113534472313,"0.43607532210109018",0.142601431980907,0.393433179723502,0.0274759391493325,0.159,0.087,"0.27500000000000002","0.29200000000000004",0.343,0.331,"0.34700000000000003","1"
"6","BANKS",2229,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,2,0.897263346792283,1,0,0,1,0,NA,NA,NA,NA,181,NA,0.893491124260355,0.869565217391304,NA,0.907216494845361,0.877358490566038,0.839080459770115,0.494565217391304,66928,38,69096,32,74099,"-","79167",0.0445477726113694,0.0460358056265985,"0","0",0.15629218539073,0.143393009377664,"0.54658385093167705","0.13368983957219252",0.182690865456727,0.167774936061381,"5.5900621118012424E-2","0.25401069518716579",0.327733613319334,0.343393009377664,"0.39751552795031053","0.25133689839572193",0.288735563221839,0.299403239556692,"0","0.36096256684491979",2328,0.120878550288177,"36",658,0.162992321030468,456,0.154054054054054,0.131770235557742,0.117904749984354,0.393715341959335,"7.877927608232789E-2",0.164467331831349,0.205253283302064,0.0266365688487585,0.118,0.111,"0","4.3999999999999997E-2",0.266,0.253,"0","0.26100000000000001"
"7","BARROW",12657,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,18,1.4221379473809,0.666666666666667,0.277777777777778,0.0555555555555556,0.666666666666667,0,NA,NA,NA,NA,948,0.928571428571429,0.923933209647495,0.879032258064516,0.98,0.935294117647059,0.895437262357414,NA,0.504115226337449,77583,22,75053,25,77383,"69072","63489",0.0433966853132275,0.0391450966095516,"8.158703548477228E-2","3.3135681897453785E-2",0.0788019874222577,0.0678089682829019,"0.15451243364068176","4.3948378095570284E-2",0.192314374066224,0.200920524972658,"0.15535065660799105","0.28392047436344608",0.351655606129043,0.356999635435654,"0.33053925677563567","0.37077084059993026",0.333831347069247,0.335125774699234,"0.27801061749091927","0.26822462504359956",8282,0.0933782823898166,"17",2580,0.117883578543361,1928,0.118238685146572,0.0955158020274299,0.0918664723804477,0.125821506810172,"0.1349941541505531",0.0564500852434173,0.186237188872621,0.0373165974048003,0.084,0.081,"0.111","0.111",0.263,0.262,"0.27500000000000002","0.36899999999999999"
"8","BARTOW",14654,2,0.136481506755835,93,0,0,0,1,2,1,0,NA,NA,NA,NA,26,1.77425958782585,0.423076923076923,0.384615384615385,0.0769230769230769,0.653846153846154,1,1,0,0,1,823,0.925,0.94949494949495,0.970802919708029,1,0.959367945823928,0.940898345153664,0.938718662952646,0.505226480836237,80017,20,74812,27,77606,"59172","73337",0.0530328658044706,0.0477046588760423,"0.10569306930693069","2.7280130293159611E-2",0.0898279944833329,0.0918136449583088,"9.3564356435643564E-2","3.9902280130293157E-2",0.188087121704962,0.185425126313505,"0.23415841584158417","0.21783387622149838",0.321528012698743,0.311645640246738,"0.30891089108910891","0.49389250814332247",0.347524005308491,0.363410929605406,"0.25767326732673268","0.22109120521172637",11545,0.103439625126556,"21",3431,0.13403914521233,2420,0.128035553674409,0.10820909326329,0.0974263644655867,0.190166493236212,"0.13669962561198043",0.116528490590867,0.208746355685131,0.02711157455683,0.083,0.076,"0.159","8.3000000000000004E-2",0.21,0.193,"0.27699999999999997","0.26"
"9","BEN HILL",2392,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,8,3.34448160535117,0.25,0.75,0,0.625,0,NA,NA,NA,NA,180,0.888888888888889,0.811594202898551,0.815789473684211,NA,0.853448275862069,0.818181818181818,0.837209302325581,0.489473684210526,41141,152,38255,152,54079,"28447","58843",0.134296940780241,0.0664805886830754,"0.22719843085975808","0",0.185377490878473,0.148693225069779,"0.2170644001307617","0.27555555555555555",0.290906539433062,0.25323521948744,"0.34259561948349132","2.6666666666666668E-2",0.257507718214987,0.316163410301954,"0.18502778685845048","0.49333333333333335",0.131911310693236,0.215427556457752,"2.811376266753841E-2","0.20444444444444446",4489,0.267648461721917,"151",1502,0.364032961706253,1183,0.380998389694042,0.264909351145038,0.143208107278125,0.430116204002582,"0.28312159709618873",0.166840822013236,0.228827818283791,0.0475836431226766,0.21,0.102,"0.34700000000000003","0.316",0.463,0.346,"0.47599999999999998","0.72900000000000009"
"10","BERRIEN",2481,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,4,1.61225312374043,0.25,0.75,0,1,0,NA,NA,NA,NA,206,0.933333333333333,0.862068965517241,1,NA,0.952380952380952,0.821705426356589,0.824742268041237,0.413461538461538,48725,105,48670,106,49524,"41788","73452",0.0878488114572568,0.0866632945540381,"9.3333333333333338E-2","0.17985611510791366",0.183227521039421,0.18799527904232,"0.22285714285714286","5.3956834532374098E-2",0.237560903587775,0.228292024953633,"0.26285714285714284","0.18345323741007194",0.299571829322309,0.297588939470578,"0.36952380952380953","0.26978417266187049",0.191790934593238,0.19946046197943,"5.1428571428571428E-2","0.31294964028776978",3947,0.218925065172777,"120",1319,0.316838818159981,940,0.303813833225598,0.232067275562486,0.228701070025735,0.197905181918412,"0.271484375",0.158953080114906,0.410301178524662,0.039010989010989,0.191,0.197,"0.17200000000000001","0.182",0.363,0.433,"0.155","0.51700000000000002"
